pubID,persNo,title,citedby,year
1370,8,Publication1,59,2013
1371,5,Publication2,82,2016
1372,2,Publication3,59,2012
1373,1,Publication4,22,2013
1374,5,Publication5,59,2012
1375,2,Publication6,67,2013
1376,10,Publication7,83,2013
1377,3,Publication8,32,2012
1378,1,Publication9,5,2015
1379,8,Publication10,36,2016
1380,7,Publication11,71,2017
1381,2,Publication12,89,2015
1382,10,Publication13,70,2011
1383,5,Publication14,53,2011
1384,9,Publication15,96,2011
1385,3,Publication16,31,2017
1386,8,Publication17,28,2016
1387,3,Publication18,99,2013
1388,5,Publication19,33,2013
1389,1,Publication20,86,2011
1390,6,Publication21,73,2014
1391,9,Publication22,14,2015
1392,1,Publication23,26,2016
1393,5,Publication24,16,2017
1394,10,Publication25,89,2014
1395,1,Publication26,48,2013
1370,7,Publication1,59,2013
1371,4,Publication2,82,2016
1372,1,Publication3,59,2012
1373,10,Publication4,22,2013
1374,4,Publication5,59,2012
1375,1,Publication6,67,2013
1376,9,Publication7,83,2013
1377,2,Publication8,32,2012
1378,10,Publication9,5,2015
1379,7,Publication10,36,2016
1380,6,Publication11,71,2017
1370,6,Publication1,59,2013
1371,3,Publication2,82,2016
1372,10,Publication3,59,2012
1373,9,Publication4,22,2013
1374,3,Publication5,59,2012
