citedby,persNo,pubID,title,year
0,3109,85019251984,Combinatorial treatment with polyI:C and anti-IL6 enhances apoptosis and suppresses metastasis of lung cancer cells,2017
3,3109,84988923392,Human and mouse monocytes display distinct signalling and cytokine profiles upon stimulation with FFAR2/FFAR3 short-chain fatty acid receptor agonists,2016
3,3109,84978800223,Innate immune memory and homeostasis may be conferred through crosstalk between the TLR3 and TLR7 pathways,2016
11,3109,84960154302,The molecular mechanisms of TLR-signaling cooperation in cytokine regulation,2016
1,3109,84979582099,Bacillus anthracis TIR domain-containing protein localises to cellular microtubule structures and induces autophagy,2016
5,3109,84948439051,SARM modulates MyD88-mediated TLR activation through BB-loop dependent TIR-TIR interactions,2016
17,3109,84975230323,GPR41 and GPR43 in obesity and inflammation - Protective or causative?,2016
7,3109,84914121582,Molecular interaction between natural IgG and ficolin - Mechanistic insights on adaptive-innate immune crosstalk,2015
5,3109,84949549726,Response of Neutrophils to Extracellular Haemoglobin and LTA in Human Blood System,2015
8,3109,84949797995,The short-chain fatty acid receptor GPR43 is transcriptionally regulated by XBP1 in human monocytes,2015
35,3109,84919624844,Natural antibodies bridge innate and adaptive immunity,2015
2,3109,84975257599,SAG-UPS regulates malignant transformation-from chronic inflammation to pro-tumorigenesis to liver cancer,2015
6,3109,84941881013,"Beyond TLR Signaling - The Role of SARM in Antiviral Immune Defense, Apoptosis &amp; Development",2015
0,3109,84957610087,Biotechnology efforts to conserve horseshoe crabs through the development of recombinant factor C-based endotoxin test,2015
10,3109,84937717318,"Cutting edge: Synchronization of IRF1, JunB, and C/EBP? activities during TLR3-TLR7 cross-talk orchestrates timely cytokine synergy in the proinflammatory response",2015
1,3109,84906833425,Erratum: Natural IgG antibodies provide innate protection against ficolin-opsonized bacteria (The EMBO Journal (2013) 32 (2905-2919) DOI:10.1038/emboj.2013.199),2014
7,3109,84914149937,The unexplored roles of human serum IgA,2014
6,3109,84905916117,Ubiquitination by SAG regulates macrophage survival/death and immune response during infection,2014
21,3109,84911419340,TLR cross-talk confers specificity to innate immunity,2014
0,3109,84902778231,Preferential silent survival of intracellular bacteria in hemoglobin-primed macrophages,2014
23,3109,84887823108,Natural IgG antibodies provide innate protection against ficolin-opsonized bacteria,2013
7,3109,84884901353,UXT plays dual opposing roles on SARM-induced apoptosis,2013
5,3109,84891884411,Extracellular haemoglobin upregulates and binds to tissue factor on macrophages: Implications for coagulation and oxidative stress,2013
14,3109,84877836304,CD163 and IgG codefend against cytotoxic hemoglobin via autocrine and paracrine mechanisms,2013
22,3109,84878604299,The synergy in cytokine production through MyD88-TRIF pathways is co-ordinated with ERK phosphorylation in macrophages,2013
15,3109,84873022603,A perspective on the role of extracellular hemoglobin on the innate immune system,2013
28,3109,84873723800,T-cell death following immune activation is mediated by mitochondria-localized SARM,2013
